,race_id,dist,place,dog_id,box,split_times,split_margins,run_time
101,537521902,385m,1,326661037,4,8.15,0.00,21.50
102,537521902,385m,2,359349771,3,8.31,0.16,21.89
103,537521902,385m,3,358059194,7,8.45,0.30,21.90
104,537521902,385m,4,298118568,2,8.62,0.47,22.09
105,537521902,385m,5,339658974,6,8.31,0.16,22.09
106,537521902,385m,6,300897124,5,8.22,0.07,22.12
107,537521902,385m,7,347752133,1,8.61,0.46,22.30
108,537521902,385m,8,360995057,8,8.33,0.18,22.37
109,537521907,450m,1,376876251,4,6.57,0.00,25.46
110,537521907,450m,2,231591760,2,6.73,0.16,25.47
111,537521907,450m,3,332166529,8,6.77,0.20,25.63
112,537521907,450m,4,331308297,3,6.88,0.31,25.70
113,537521907,450m,5,340020187,6,6.84,0.27,25.80
114,537521907,450m,6,347752119,7,6.93,0.36,26.00
115,537521907,450m,7,325813331,5,6.73,0.16,26.01
116,537521907,450m,8,358059196,1,6.84,0.27,26.16
117,535478436,450m,1,374020554,3,6.60,0.00,25.00
118,535478436,450m,2,369459444,1,6.64,0.04,25.28
119,535478436,450m,3,363309177,5,6.62,0.02,25.28
120,535478436,450m,4,320957634,2,6.86,0.26,25.49
121,535478436,450m,5,340652445,7,6.71,0.11,25.61
122,535478436,450m,6,320008250,8,6.78,0.18,25.71
123,535478436,450m,7,331407996,4,6.85,0.25,25.73
124,535478436,450m,8,298118569,6,6.76,0.16,25.98
125,537521905,450m,1,236752123,6,6.51,0.00,25.29
126,537521905,450m,2,285535432,5,6.59,0.08,25.35
127,537521905,450m,3,262316679,3,6.58,0.07,25.42
128,537521905,450m,4,318755741,8,6.85,0.34,25.43
129,537521905,450m,5,292374584,4,6.80,0.29,25.50
130,537521905,450m,6,1496830016,7,6.88,0.37,25.65
131,537521905,450m,7,306113020,1,6.95,0.44,25.71
132,537521905,450m,8,285870102,2,6.76,0.25,25.76
133,537521906,450m,1,167542428,5,6.61,0.00,25.33
134,537521906,450m,2,318735217,6,6.77,0.16,25.38
135,537521906,450m,3,319014760,3,6.70,0.09,25.56
136,537521906,450m,4,293542916,1,6.80,0.19,25.64
137,537521906,450m,5,128010528,4,6.79,0.18,25.65
138,537521906,450m,6,157500931,7,6.89,0.28,25.92
139,537521904,450m,1,263426807,8,6.54,0.00,25.16
140,537521904,450m,2,287560984,7,6.70,0.16,25.19
141,537521904,450m,3,198170059,1,6.86,0.32,25.26
142,537521904,450m,4,167542426,5,6.66,0.12,25.67
143,537521904,450m,5,315222216,6,6.90,0.36,25.72
144,537521904,450m,6,171127082,3,6.91,0.37,25.77
145,537521904,450m,7,238889832,2,6.89,0.35,25.78
146,537521898,385m,1,196374477,6,8.11,0.00,21.79
147,537521898,385m,2,289026906,1,8.57,0.46,22.14
148,537521898,385m,3,293542917,7,8.25,0.14,22.18
149,537521898,385m,4,135412293,8,8.29,0.18,22.19
150,537521898,385m,5,257638267,2,8.57,0.46,22.39
151,537521898,385m,6,253088667,3,8.64,0.53,22.53
152,537521898,385m,7,198170053,4,8.61,0.50,22.61
153,537521899,385m,1,235409380,1,8.17,0.00,21.74
154,537521899,385m,2,289038429,4,8.31,0.14,22.04
155,537521899,385m,3,312534828,3,8.35,0.18,22.28
156,537521899,385m,4,223670953,6,8.38,0.21,22.33
157,537521900,385m,1,325814332,4,8.35,0.14,21.81
158,537521900,385m,2,282589051,7,8.37,0.16,22.11
159,537521900,385m,3,304203709,6,8.26,0.05,22.33
160,537521900,385m,4,204133454,8,8.49,0.28,22.36
161,537521900,385m,5,359201027,2,8.21,0.00,22.53
162,537521900,385m,6,252734966,1,8.21,0.00,22.61
163,537521901,385m,1,321686593,7,8.32,0.12,21.66
164,537521901,385m,2,230317216,5,8.20,0.00,21.99
165,537521901,385m,3,157159703,1,8.43,0.23,22.08
166,537521901,385m,4,246692917,2,8.52,0.32,22.16
167,537521901,385m,5,2043510008,8,8.45,0.25,22.22
168,537521901,385m,6,214449062,6,8.73,0.53,22.84
169,139363676,390m,1,1206210253,7,8.75,0.04,22.85
170,139363676,390m,2,766410116,3,8.78,0.07,23.08
171,139363676,390m,3,1247550015,2,8.71,0.00,23.11
172,139363676,390m,4,732900008,1,8.82,0.11,23.22
173,139363676,390m,5,833730014,4,8.89,0.18,23.31
174,139363676,390m,6,1209110033,8,8.87,0.16,23.42
175,139363676,390m,7,714150030,5,8.96,0.25,23.43
176,139363677,390m,1,471820004,6,8.70,0.00,22.96
177,139363677,390m,2,800830012,3,8.81,0.11,23.16
178,139363677,390m,3,-726575,7,8.84,0.14,23.19
179,139363677,390m,4,-738505,4,8.88,0.18,23.22
180,139363677,390m,5,946200062,1,9.07,0.37,23.47
181,139363677,390m,6,219770114,8,8.93,0.23,23.89
182,139363677,390m,7,1003440001,2,9.07,0.37,24.13
183,139363682,450m,1,992550056,7,6.96,0.08,26.04
184,139363682,450m,2,843860049,2,6.95,0.07,26.09
185,139363682,450m,3,1044030128,5,6.88,0.00,26.37
186,139363682,450m,4,1199430026,3,6.89,0.01,26.39
187,139363682,450m,5,1092430021,8,6.92,0.04,26.50
188,139363682,450m,6,1273690012,1,6.94,0.06,26.78
189,139363682,450m,7,1028790053,4,7.14,0.26,26.81
190,139363682,450m,8,1184050021,6,7.00,0.12,27.14
191,139363675,390m,1,820860039,3,8.80,0.07,23.17
