,race_id,date,track,dist,grade,place,dog_id,box,split_times,split_margins,run_time,weigth,margin,place_adj
527,193436616,01 Feb 17,Ballarat,390m,Mixed 4/5,6.0,169720032,6,8.57,0.23,22.77,32.0,9.36,0.16666666666666666
554,636819603,01 Feb 21,Ballarat,390m,Tier 3 - Maiden,6.0,359294662,6,8.96,0.33,23.50,23.6,10.30,0.16666666666666666
60,422625073,01 Apr 19,Ballarat,545m,Restricted Win Aged Prize Money,7.0,192407553,6,7.06,0.23,32.43,26.5,15.07,0.14285714285714285
296,386961897,01 Dec 18,Ballarat,450m,S/E Heat,5.0,148673803,6,6.65,0.21,25.62,34.3,5.43,0.2
474,193436617,01 Feb 17,Ballarat,390m,Mixed 6/7,6.0,1158650005,6,8.62,0.23,22.77,28.6,9.66,0.16666666666666666
480,193436620,01 Feb 17,Ballarat,450m,Mixed 6/7,4.0,1295000010,6,6.90,0.17,26.15,29.8,8.36,0.25
315,386961892,01 Dec 18,Ballarat,450m,S/E Heat,1.0,126471999,7,6.46,0.00,25.04,27.8,1.41,1.0
158,139100151,01 Aug 16,Ballarat,450m,Tier 3 - Grade 7,8.0,718090046,7,6.98,0.19,26.69,28.4,10.10,0.125
681,285201769,01 Jan 18,Ballarat,450m,Mixed 4/5,6.0,1209110034,7,6.79,0.28,25.94,34.4,8.53,0.16666666666666666
514,193436622,01 Feb 17,Ballarat,545m,Mixed 4/5,1.0,946340025,7,6.66,0.00,30.81,34.0,2.31,1.0
291,386961898,01 Dec 18,Ballarat,450m,S/E Heat,8.0,170757836,7,6.78,0.15,25.73,33.3,7.69,0.125
403,1978170006,01 Feb 16,Ballarat,450m,Grade 5 T3,5.0,-735284,7,6.74,0.05,26.22,33.6,10.27,0.2
80,422625063,01 Apr 19,Ballarat,390m,Aged Prize Money,6.0,1912130003,7,8.78,0.33,22.91,35.2,8.03,0.16666666666666666
692,285201768,01 Jan 18,Ballarat,390m,Grade 5,3.0,954250032,7,8.71,0.37,22.75,34.8,8.54,0.3333333333333333
150,139100149,01 Aug 16,Ballarat,450m,Grade 5 T3,7.0,-745763,7,6.93,0.14,26.51,34.5,8.69,0.14285714285714285
510,193436619,01 Feb 17,Ballarat,450m,Grade 5,5.0,839590069,7,6.69,0.14,25.77,26.9,7.83,0.2
683,285201765,01 Jan 18,Ballarat,390m,Mixed 6/7,1.0,1916600011,7,8.56,0.04,22.72,30.9,1.49,1.0
310,386961894,01 Dec 18,Ballarat,450m,S/E Heat,3.0,183878561,7,6.89,0.40,25.17,34.8,3.00,0.3333333333333333
301,386961899,01 Dec 18,Ballarat,545m,Grade 5,2.0,1721190126,7,7.03,0.23,31.46,31.1,1.07,0.5
162,139100147,01 Aug 16,Ballarat,390m,Tier 3 - Grade 7,4.0,790680085,7,8.73,0.14,22.98,32.3,4.73,0.25
779,513030527,01 Jan 20,Ballarat,450m,Restricted Win,5.0,242073685,7,6.77,0.10,26.61,27.3,7.63,0.2
270,345438525,01 Aug 18,Ballarat,390m,Grade 5,3.0,183878548,7,8.56,0.26,22.36,32.1,2.36,0.3333333333333333
671,285201776,01 Jan 18,Ballarat,545m,Grade 5,4.0,1137360000,7,7.06,0.37,31.90,37.5,10.36,0.25
48,422625070,01 Apr 19,Ballarat,450m,Grade 6 Aged Prize Money,3.0,1976880009,7,6.75,0.05,25.74,29.4,3.49,0.3333333333333333
663,285201770,01 Jan 18,Ballarat,450m,Grade 5,4.0,1407960014,7,6.70,0.09,25.93,27.5,5.39,0.25
92,139100148,01 Aug 16,Ballarat,390m,Tier 3 - Maiden,2.0,883010032,7,8.60,0.05,22.79,27.7,2.26,0.5
412,1978170011,01 Feb 16,Ballarat,545m,Grade 5 T3,6.0,-745763,7,7.29,0.50,31.84,34.7,5.90,0.16666666666666666
340,386961896,01 Dec 18,Ballarat,450m,S/E Heat,3.0,1910400004,7,6.85,0.32,25.58,32.7,6.66,0.3333333333333333
174,139100146,01 Aug 16,Ballarat,390m,Tier 3 - Grade 6,8.0,-742758,7,9.00,0.46,23.40,23.2,13.61,0.125
783,513030529,01 Jan 20,Ballarat,390m,Grade 5,3.0,273589594,7,8.54,0.18,22.49,28.6,4.13,0.3333333333333333
654,285201775,01 Jan 18,Ballarat,545m,Grade 5,3.0,861630035,7,7.05,0.44,31.69,31.9,8.81,0.3333333333333333
524,193436616,01 Feb 17,Ballarat,390m,Mixed 4/5,3.0,771030065,7,8.61,0.27,22.54,36.7,6.07,0.3333333333333333
372,1978170003,01 Feb 16,Ballarat,390m,Tier 3 - Maiden,5.0,-746086,7,8.84,0.40,23.22,33.3,7.27,0.2
698,285201766,01 Jan 18,Ballarat,390m,Mixed 4/5,1.0,1937340038,7,8.28,0.07,22.15,31.7,0.73,1.0
476,193436617,01 Feb 17,Ballarat,390m,Mixed 6/7,8.0,1534280018,7,8.72,0.33,22.92,26.0,11.91,0.125
463,193436621,01 Feb 17,Ballarat,450m,Maiden,3.0,1474730014,7,6.84,0.16,26.07,32.2,3.51,0.3333333333333333
4,422625068,01 Apr 19,Ballarat,390m,Maiden Aged Prize Money,5.0,214382436,7,8.95,0.23,23.28,27.7,3.90,0.2
487,192952203,01 Feb 17,Ballarat,450m,Mixed 6/7 Final,4.0,1591690037,7,6.67,0.11,25.52,23.3,7.16,0.25
747,513030534,01 Jan 20,Ballarat,545m,Mixed 4/5,2.0,231587252,7,7.25,0.56,31.52,28.8,5.87,0.5
115,139100155,01 Aug 16,Ballarat,545m,Tier 3 - Grade 7,1.0,-751738,7,7.05,0.16,32.03,32.7,1.74,1.0
741,513030533,01 Jan 20,Ballarat,450m,Mixed 6/7,2.0,231587255,7,6.56,0.00,25.60,26.8,2.31,0.5
108,139100152,01 Aug 16,Ballarat,450m,Tier 3 - Maiden,2.0,1237400057,7,7.08,0.29,26.25,28.8,3.16,0.5
379,1978170009,01 Feb 16,Ballarat,450m,Tier 3 - Maiden,5.0,542240012,7,7.00,0.35,26.37,30.0,14.00,0.2
758,509334855,01 Jan 20,Ballarat,450m,Grade 5 Final,5.0,318755750,7,6.66,0.18,25.89,31.4,7.87,0.2
354,386961890,01 Dec 18,Ballarat,450m,Mixed 4/5,3.0,201710120,7,6.77,0.25,25.66,27.9,4.61,0.3333333333333333
386,1978170004,01 Feb 16,Ballarat,390m,Tier 3 - Maiden,4.0,252830015,7,8.59,0.19,23.08,31.4,6.03,0.25
494,193436612,01 Feb 17,Ballarat,450m,S/E Heat,3.0,1136220028,7,6.69,0.18,25.68,29.6,3.76,0.3333333333333333
763,513030532,01 Jan 20,Ballarat,450m,Mixed 4/5,2.0,190934616,7,6.69,0.20,25.33,34.1,2.80,0.5
124,139100150,01 Aug 16,Ballarat,450m,Tier 3 - Grade 6,2.0,673190026,7,6.75,0.00,26.28,31.2,1.20,0.5
11,422625072,01 Apr 19,Ballarat,450m,Maiden Aged Prize Money,4.0,248770554,7,6.73,0.00,26.46,25.8,11.14,0.25
725,513030525,01 Jan 20,Ballarat,450m,Maiden Heat,7.0,350250105,7,6.75,0.26,26.47,29.1,12.21,0.14285714285714285
499,193436618,01 Feb 17,Ballarat,450m,Mixed 4/5,1.0,963700085,7,6.49,0.00,25.05,33.2,2.27,1.0
297,386961897,01 Dec 18,Ballarat,450m,S/E Heat,6.0,757840010,7,6.82,0.38,25.64,34.0,5.74,0.16666666666666666
178,139100145,01 Aug 16,Ballarat,390m,Grade 5 T3,4.0,219770099,7,8.81,0.30,22.82,25.0,3.53,0.25
717,513030531,01 Jan 20,Ballarat,390m,Maiden,4.0,127028585,7,8.62,0.04,22.99,27.0,2.03,0.25
350,386961891,01 Dec 18,Ballarat,450m,S/E Heat,6.0,172047912,7,6.71,0.13,26.16,32.8,10.74,0.16666666666666666
395,1978170000,01 Feb 16,Ballarat,545m,Tier 3 - Restricted Win,5.0,587100014,7,7.37,0.57,31.95,33.5,3.35,0.2
361,386961889,01 Dec 18,Ballarat,390m,Mixed 4/5,2.0,1936980014,7,8.51,0.15,22.34,24.4,0.70,0.5
99,139100156,01 Aug 16,Ballarat,545m,Tier 3 - Maiden,1.0,950180015,7,7.03,0.16,32.00,33.7,1.51,1.0
712,285201767,01 Jan 18,Ballarat,390m,Grade 5,7.0,1435300018,7,8.74,0.37,22.67,32.2,7.30,0.14285714285714285
477,193436620,01 Feb 17,Ballarat,450m,Mixed 6/7,1.0,1591720049,7,6.74,0.01,25.56,28.0,3.54,1.0
282,386961888,01 Dec 18,Ballarat,450m,Restricted Win,7.0,2077970001,7,7.04,0.39,26.44,35.5,8.27,0.14285714285714285
141,139100154,01 Aug 16,Ballarat,545m,Tier 3 - Grade 6,5.0,208690023,7,7.25,0.45,32.28,34.6,8.10,0.2
55,422625073,01 Apr 19,Ballarat,545m,Restricted Win Aged Prize Money,2.0,1177320013,7,7.06,0.23,31.41,34.2,0.49,0.5
459,1978170002,01 Feb 16,Ballarat,390m,Grade 5 T3,7.0,172830039,7,8.51,0.00,23.01,27.1,7.71,0.14285714285714285
134,139100153,01 Aug 16,Ballarat,545m,Grade 5 T3,6.0,422220002,7,7.12,0.24,32.22,28.6,5.19,0.16666666666666666
45,422625069,01 Apr 19,Ballarat,450m,Aged Prize Money,8.0,1334020065,7,6.89,0.25,26.42,36.7,8.49,0.125
628,285201774,01 Jan 18,Ballarat,450m,Maiden,7.0,132384249,7,6.84,0.15,27.85,28.0,24.50,0.14285714285714285
194,345438530,01 Aug 18,Ballarat,450m,Mixed 6/7,4.0,126153838,7,6.81,0.24,25.90,31.3,3.23,0.25
260,345438524,01 Aug 18,Ballarat,390m,Grade 5,1.0,882960008,7,8.47,0.00,22.16,33.3,1.30,1.0
535,193436613,01 Feb 17,Ballarat,450m,S/E Heat,6.0,1092420023,7,6.86,0.17,26.28,27.5,9.19,0.16666666666666666
445,1978170010,01 Feb 16,Ballarat,390m,Tier 3 - Grade 6,1.0,763790062,7,8.46,0.06,22.52,25.8,3.60,1.0
538,193436614,01 Feb 17,Ballarat,450m,S/E Heat,3.0,1524380021,7,6.57,0.00,25.56,28.8,1.21,0.3333333333333333
248,345438529,01 Aug 18,Ballarat,450m,Grade 5,5.0,1590360001,7,6.86,0.25,25.99,30.5,4.44,0.2
200,345438522,01 Aug 18,Ballarat,660m,Restricted Win,2.0,109975011,7,13.20,0.42,38.49,32.0,7.79,0.5
583,636819608,01 Feb 21,Ballarat,545m,Grade 5 T3,6.0,331308295,7,7.05,0.26,31.65,32.2,5.46,0.16666666666666666
425,1978170005,01 Feb 16,Ballarat,450m,Grade 5 T3,5.0,-729025,7,6.77,0.00,26.06,30.0,3.10,0.2
224,345438527,01 Aug 18,Ballarat,450m,Mixed 4/5,2.0,109032166,7,6.70,0.12,25.31,33.0,0.69,0.5
586,636819605,01 Feb 21,Ballarat,450m,Grade 5 T3,2.0,445006775,7,6.67,0.00,25.50,33.8,0.34,0.5
617,636819602,01 Feb 21,Ballarat,390m,Grade 5 T3,1.0,227854801,7,8.75,0.26,22.57,34.1,0.20,1.0
256,345438523,01 Aug 18,Ballarat,390m,Mixed 4/5,5.0,1936980014,7,8.43,0.11,22.23,24.5,4.27,0.2
23,422625066,01 Apr 19,Ballarat,390m,Grade 7 Aged Prize Money,1.0,204414554,7,8.41,0.00,22.21,30.6,3.01,1.0
611,636819601,01 Feb 21,Ballarat,390m,Grade 5 T3,2.0,400457363,7,8.61,0.26,22.65,31.3,2.71,0.5
609,636819598,01 Feb 21,Ballarat,390m,Tier 3 - Restricted Win,7.0,354609886,7,8.74,0.28,22.92,28.4,10.17,0.14285714285714285
431,1978170007,01 Feb 16,Ballarat,390m,Tier 3 - Grade 7,3.0,243250024,7,8.60,0.25,22.64,34.2,4.21,0.3333333333333333
217,343237372,01 Aug 18,Ballarat,450m,Grade 5 Final,3.0,121002025,7,6.58,0.01,25.50,37.1,1.66,0.3333333333333333
649,285201772,01 Jan 18,Ballarat,450m,Grade 6,5.0,114599756,7,6.75,0.19,26.27,26.9,6.91,0.2
211,344127988,01 Aug 18,Ballarat,450m,Maiden Final,5.0,192414061,7,6.72,0.11,25.69,32.3,6.80,0.2
545,193436615,01 Feb 17,Ballarat,450m,S/E Heat,3.0,1408490012,7,6.77,0.18,25.68,29.0,3.25,0.3333333333333333
594,636819606,01 Feb 21,Ballarat,450m,Grade 5 T3,4.0,417040420,7,6.84,0.20,25.74,33.6,3.77,0.25
327,386961895,01 Dec 18,Ballarat,450m,S/E Heat,5.0,1641920020,7,6.74,0.33,25.52,33.7,8.01,0.2
70,422625065,01 Apr 19,Ballarat,390m,Grade 6 Aged Prize Money,2.0,2145330028,7,8.63,0.16,22.39,27.3,2.20,0.5
337,386961893,01 Dec 18,Ballarat,450m,S/E Heat,7.0,1276990079,7,7.08,0.57,25.89,33.2,10.44,0.14285714285714285
443,1978170008,01 Feb 16,Ballarat,450m,Tier 3 - Grade 7,7.0,-751742,7,6.73,0.11,26.32,31.7,14.63,0.14285714285714285
572,636819607,01 Feb 21,Ballarat,450m,Tier 3 - Grade 7,6.0,315935641,7,6.83,0.15,26.14,29.2,9.06,0.16666666666666666
188,345438526,01 Aug 18,Ballarat,390m,Mixed 6/7,6.0,1462790002,7,8.77,0.34,22.75,33.5,6.39,0.16666666666666666
418,1978170001,01 Feb 16,Ballarat,390m,Grade 5 T3,4.0,-751094,7,8.62,0.16,22.58,34.7,1.33,0.25
639,285201773,01 Jan 18,Ballarat,450m,Grade 7,3.0,118762561,7,6.62,0.00,25.98,32.2,0.56,0.3333333333333333
233,345438528,01 Aug 18,Ballarat,450m,Grade 5,3.0,2002170008,7,6.76,0.16,25.68,29.2,6.57,0.3333333333333333
560,636819600,01 Feb 21,Ballarat,390m,Tier 3 - Restricted Win,1.0,376413836,7,8.65,0.19,22.49,32.2,3.17,1.0
18,422625074,01 Apr 19,Ballarat,545m,Restricted Win Aged Prize Money,3.0,152915721,7,7.10,0.32,32.05,32.3,10.71,0.3333333333333333
33,422625071,01 Apr 19,Ballarat,450m,Grade 7 Aged Prize Money,3.0,280075548,7,6.70,0.01,25.90,27.3,2.97,0.3333333333333333
241,345438531,01 Aug 18,Ballarat,545m,Mixed 4/5,4.0,126153807,7,6.83,0.07,31.43,32.2,6.13,0.25
635,285201771,01 Jan 18,Ballarat,545m,Mixed 6/7,6.0,128597696,7,7.14,0.43,32.36,32.7,11.87,0.16666666666666666
89,422625064,01 Apr 19,Ballarat,390m,Aged Prize Money,7.0,1590360001,7,8.79,0.32,23.06,30.7,8.77,0.14285714285714285
558,636819604,01 Feb 21,Ballarat,390m,Tier 3 - Maiden,4.0,442103448,7,8.91,0.47,22.98,23.8,7.47,0.25
590,636819605,01 Feb 21,Ballarat,450m,Grade 5 T3,6.0,344124376,8,6.80,0.13,25.99,33.7,7.34,0.16666666666666666
471,193436617,01 Feb 17,Ballarat,390m,Mixed 6/7,3.0,1238510098,8,8.53,0.14,22.42,25.9,4.66,0.3333333333333333
249,345438529,01 Aug 18,Ballarat,450m,Grade 5,6.0,1574550003,8,6.74,0.13,26.02,31.9,4.81,0.16666666666666666
5,422625068,01 Apr 19,Ballarat,390m,Maiden Aged Prize Money,6.0,118021578,8,8.72,0.00,23.29,34.2,3.97,0.16666666666666666
29,422625066,01 Apr 19,Ballarat,390m,Grade 7 Aged Prize Money,7.0,254393778,8,8.72,0.31,22.80,24.1,8.33,0.14285714285714285
39,422625069,01 Apr 19,Ballarat,450m,Aged Prize Money,2.0,132384245,8,6.71,0.07,25.87,27.9,0.66,0.5
769,513030532,01 Jan 20,Ballarat,450m,Mixed 4/5,8.0,256198378,8,6.90,0.41,26.27,27.4,16.19,0.125
561,636819600,01 Feb 21,Ballarat,390m,Tier 3 - Restricted Win,2.0,439250756,8,8.50,0.04,22.71,30.7,3.17,0.5
466,193436621,01 Feb 17,Ballarat,450m,Maiden,6.0,1295030013,8,6.68,0.00,26.28,34.4,6.59,0.16666666666666666
120,139100155,01 Aug 16,Ballarat,545m,Tier 3 - Grade 7,6.0,962780020,8,7.14,0.25,32.38,31.0,5.00,0.16666666666666666
85,422625064,01 Apr 19,Ballarat,390m,Aged Prize Money,3.0,2018280003,8,8.73,0.26,22.68,33.4,3.34,0.3333333333333333
369,1978170003,01 Feb 16,Ballarat,390m,Tier 3 - Maiden,2.0,806680035,8,8.69,0.25,23.09,31.6,5.16,0.5
735,513030528,01 Jan 20,Ballarat,390m,Grade 5,3.0,250697395,8,8.43,0.11,22.30,32.2,3.30,0.3333333333333333
595,636819606,01 Feb 21,Ballarat,450m,Grade 5 T3,5.0,284813014,8,6.89,0.25,25.79,27.5,4.50,0.2
492,193436612,01 Feb 17,Ballarat,450m,S/E Heat,1.0,1238520089,8,6.51,0.00,25.42,26.7,2.79,1.0
732,513030526,01 Jan 20,Ballarat,450m,Maiden Heat,6.0,350250107,8,6.79,0.24,26.70,31.0,15.73,0.16666666666666666
91,139100148,01 Aug 16,Ballarat,390m,Tier 3 - Maiden,1.0,887800012,8,8.69,0.14,22.63,30.0,2.26,1.0
782,513030529,01 Jan 20,Ballarat,390m,Grade 5,2.0,298886080,8,8.61,0.25,22.37,28.5,2.36,0.5
356,386961890,01 Dec 18,Ballarat,450m,Mixed 4/5,5.0,2036660000,8,6.85,0.33,25.94,32.2,8.53,0.2
325,386961895,01 Dec 18,Ballarat,450m,S/E Heat,3.0,113531156,8,6.67,0.26,25.49,34.8,7.60,0.3333333333333333
114,139100152,01 Aug 16,Ballarat,450m,Tier 3 - Maiden,8.0,1158650004,8,7.04,0.25,26.83,27.0,11.49,0.125
101,139100156,01 Aug 16,Ballarat,545m,Tier 3 - Maiden,3.0,-745085,8,6.87,0.00,32.24,30.1,3.49,0.3333333333333333
442,1978170008,01 Feb 16,Ballarat,450m,Tier 3 - Grade 7,6.0,940060017,8,6.80,0.18,26.19,29.3,12.56,0.16666666666666666
367,386961889,01 Dec 18,Ballarat,390m,Mixed 4/5,8.0,1281000021,8,8.58,0.22,22.82,29.5,7.69,0.125
478,193436620,01 Feb 17,Ballarat,450m,Mixed 6/7,2.0,1238520079,8,6.74,0.01,25.81,32.7,3.54,0.5
68,422625067,01 Apr 19,Ballarat,390m,Grade 7 Aged Prize Money,7.0,219141421,8,8.83,0.22,23.23,25.8,8.77,0.14285714285714285
771,513030530,01 Jan 20,Ballarat,390m,Mixed 6/7,2.0,339658973,8,8.42,0.05,22.33,23.8,1.46,0.5
228,345438527,01 Aug 18,Ballarat,450m,Mixed 4/5,6.0,1820620002,8,6.79,0.21,25.60,32.7,4.84,0.16666666666666666
51,422625070,01 Apr 19,Ballarat,450m,Grade 6 Aged Prize Money,6.0,1343120008,8,6.84,0.14,25.98,27.9,6.84,0.16666666666666666
295,386961897,01 Dec 18,Ballarat,450m,S/E Heat,4.0,1910400006,8,6.76,0.32,25.53,34.3,4.10,0.25
759,509334855,01 Jan 20,Ballarat,450m,Grade 5 Final,6.0,142641716,8,6.67,0.19,25.90,29.5,8.10,0.16666666666666666
581,636819608,01 Feb 21,Ballarat,545m,Grade 5 T3,4.0,214384921,8,7.10,0.31,31.58,30.4,4.44,0.25
573,636819597,01 Feb 21,Ballarat,450m,Tier 3 - Restricted Win,1.0,465422500,8,6.69,0.11,25.45,29.5,1.89,1.0
559,636819604,01 Feb 21,Ballarat,390m,Tier 3 - Maiden,5.0,442932100,8,8.83,0.39,23.40,37.5,13.36,0.2
235,345438528,01 Aug 18,Ballarat,450m,Grade 5,5.0,1426150012,8,6.72,0.12,25.91,33.1,9.90,0.2
551,636819603,01 Feb 21,Ballarat,390m,Tier 3 - Maiden,3.0,293230295,8,8.63,0.00,23.11,31.3,4.74,0.3333333333333333
752,513030534,01 Jan 20,Ballarat,545m,Mixed 4/5,7.0,224871351,8,6.83,0.14,31.82,31.0,10.23,0.14285714285714285
290,386961898,01 Dec 18,Ballarat,450m,S/E Heat,7.0,1805750022,8,6.89,0.26,25.69,31.9,7.13,0.14285714285714285
486,192952203,01 Feb 17,Ballarat,450m,Mixed 6/7 Final,3.0,1474670094,8,6.67,0.11,25.49,31.6,6.80,0.3333333333333333
222,343237372,01 Aug 18,Ballarat,450m,Grade 5 Final,8.0,1426130010,8,6.71,0.14,25.93,29.6,7.71,0.125
72,422625065,01 Apr 19,Ballarat,390m,Grade 6 Aged Prize Money,4.0,230054225,8,8.72,0.25,22.75,30.0,7.31,0.25
378,1978170009,01 Feb 16,Ballarat,450m,Tier 3 - Maiden,4.0,701340050,8,6.79,0.14,25.91,31.2,6.67,0.25
526,193436616,01 Feb 17,Ballarat,390m,Mixed 4/5,5.0,896030000,8,8.80,0.46,22.73,31.6,8.86,0.2
432,1978170007,01 Feb 16,Ballarat,390m,Tier 3 - Grade 7,4.0,257120019,8,8.61,0.26,22.72,34.4,5.57,0.25
305,386961899,01 Dec 18,Ballarat,545m,Grade 5,6.0,1284200020,8,6.84,0.04,31.63,33.6,3.40,0.16666666666666666
533,193436613,01 Feb 17,Ballarat,450m,S/E Heat,4.0,1155400006,8,6.90,0.21,25.97,26.4,4.64,0.25
632,285201771,01 Jan 18,Ballarat,545m,Mixed 6/7,3.0,1997140003,8,6.87,0.16,31.74,28.6,2.97,0.3333333333333333
261,345438524,01 Aug 18,Ballarat,390m,Grade 5,2.0,116082716,8,8.52,0.05,22.25,32.4,1.30,0.5
678,285201769,01 Jan 18,Ballarat,450m,Mixed 4/5,3.0,2057590003,8,6.60,0.09,25.49,34.3,2.00,0.3333333333333333
317,386961892,01 Dec 18,Ballarat,450m,S/E Heat,3.0,109835235,8,6.63,0.17,25.21,31.6,2.46,0.3333333333333333
240,345438531,01 Aug 18,Ballarat,545m,Mixed 4/5,3.0,147858644,8,6.76,0.00,31.42,33.3,6.00,0.3333333333333333
637,285201773,01 Jan 18,Ballarat,450m,Grade 7,1.0,1782950009,8,6.66,0.04,25.95,34.5,0.54,1.0
672,285201776,01 Jan 18,Ballarat,545m,Grade 5,5.0,1426130021,8,7.08,0.39,32.04,35.5,12.41,0.2
520,193436622,01 Feb 17,Ballarat,545m,Mixed 4/5,7.0,302430027,8,6.91,0.25,31.62,35.1,11.69,0.14285714285714285
166,139100147,01 Aug 16,Ballarat,390m,Tier 3 - Grade 7,8.0,1039400004,8,8.82,0.23,23.20,30.2,7.90,0.125
257,345438523,01 Aug 18,Ballarat,390m,Mixed 4/5,6.0,1457700115,8,8.64,0.32,22.35,31.9,6.01,0.16666666666666666
410,1978170011,01 Feb 16,Ballarat,545m,Grade 5 T3,4.0,257120013,8,6.88,0.09,31.70,26.4,3.68,0.25
167,139100146,01 Aug 16,Ballarat,390m,Tier 3 - Grade 6,1.0,327600004,8,8.65,0.11,22.45,29.0,6.27,1.0
269,345438525,01 Aug 18,Ballarat,390m,Grade 5,2.0,126153827,8,8.39,0.09,22.24,32.9,0.70,0.5
187,345438526,01 Aug 18,Ballarat,390m,Mixed 6/7,5.0,147858628,8,8.68,0.25,22.60,33.1,4.19,0.2
16,422625074,01 Apr 19,Ballarat,545m,Restricted Win Aged Prize Money,1.0,240409892,8,6.78,0.00,31.30,26.5,4.34,1.0
448,1978170010,01 Feb 16,Ballarat,390m,Tier 3 - Grade 6,4.0,426660001,8,8.78,0.38,22.81,32.7,4.62,0.25
56,422625073,01 Apr 19,Ballarat,545m,Restricted Win Aged Prize Money,3.0,2088850018,8,6.90,0.07,31.51,24.8,1.90,0.3333333333333333
339,386961896,01 Dec 18,Ballarat,450m,S/E Heat,2.0,203248195,8,6.66,0.13,25.29,36.5,2.53,0.5
656,285201775,01 Jan 18,Ballarat,545m,Grade 5,5.0,1992610006,8,7.01,0.40,31.77,33.1,9.99,0.2
181,139100145,01 Aug 16,Ballarat,390m,Grade 5 T3,7.0,256990051,8,8.88,0.37,22.92,31.8,4.94,0.14285714285714285
416,1978170001,01 Feb 16,Ballarat,390m,Grade 5 T3,2.0,-750621,8,8.55,0.09,22.49,35.1,0.03,0.5
648,285201772,01 Jan 18,Ballarat,450m,Grade 6,4.0,1873790014,8,6.74,0.18,26.15,35.1,5.24,0.25
667,285201770,01 Jan 18,Ballarat,450m,Grade 5,8.0,892600001,8,6.84,0.23,26.70,32.3,16.36,0.125
624,285201774,01 Jan 18,Ballarat,450m,Maiden,3.0,124927356,8,6.77,0.08,26.31,29.3,2.47,0.3333333333333333
511,193436619,01 Feb 17,Ballarat,450m,Grade 5,6.0,1092410054,8,6.88,0.33,25.84,33.5,8.76,0.16666666666666666
402,1978170006,01 Feb 16,Ballarat,450m,Grade 5 T3,4.0,-748683,8,6.70,0.01,26.18,28.3,9.59,0.25
127,139100150,01 Aug 16,Ballarat,450m,Tier 3 - Grade 6,5.0,718090043,8,6.84,0.09,26.55,30.9,5.10,0.2
601,636819599,01 Feb 21,Ballarat,390m,Tier 3 - Restricted Win,3.0,315935643,8,8.64,0.18,22.65,29.1,4.39,0.3333333333333333
391,1978170000,01 Feb 16,Ballarat,545m,Tier 3 - Restricted Win,1.0,209740024,8,6.86,0.06,31.74,33.8,0.52,1.0
544,193436615,01 Feb 17,Ballarat,450m,S/E Heat,2.0,1238520120,8,6.59,0.00,25.56,27.2,1.50,0.5
721,513030525,01 Jan 20,Ballarat,450m,Maiden Heat,3.0,338107391,8,6.75,0.26,25.80,31.6,2.57,0.3333333333333333
210,344127988,01 Aug 18,Ballarat,450m,Maiden Final,4.0,195110444,8,6.83,0.22,25.58,36.6,5.21,0.25
608,636819598,01 Feb 21,Ballarat,390m,Tier 3 - Restricted Win,6.0,437915085,8,8.68,0.22,22.79,34.5,8.43,0.16666666666666666
458,1978170002,01 Feb 16,Ballarat,390m,Grade 5 T3,6.0,-748303,8,8.67,0.16,22.91,36.4,6.06,0.16666666666666666
138,139100154,01 Aug 16,Ballarat,545m,Tier 3 - Grade 6,2.0,850590007,8,7.17,0.37,31.94,28.7,3.26,0.5
428,1978170005,01 Feb 16,Ballarat,450m,Grade 5 T3,8.0,-741811,8,6.92,0.15,26.40,24.5,8.46,0.125
541,193436614,01 Feb 17,Ballarat,450m,S/E Heat,6.0,1360060234,8,6.70,0.13,26.07,25.5,8.44,0.16666666666666666
708,285201767,01 Jan 18,Ballarat,390m,Grade 5,3.0,1176810001,8,8.56,0.19,22.40,32.0,3.49,0.3333333333333333
504,193436618,01 Feb 17,Ballarat,450m,Mixed 4/5,6.0,563440004,8,7.01,0.52,25.78,33.9,10.41,0.16666666666666666
32,422625071,01 Apr 19,Ballarat,450m,Grade 7 Aged Prize Money,2.0,177418631,8,6.69,0.00,25.81,34.6,1.73,0.5
704,285201766,01 Jan 18,Ballarat,390m,Mixed 4/5,7.0,109032188,8,8.44,0.23,22.50,34.0,5.13,0.14285714285714285
345,386961891,01 Dec 18,Ballarat,450m,S/E Heat,1.0,1745570002,8,6.70,0.12,25.41,34.3,1.24,1.0
280,386961888,01 Dec 18,Ballarat,450m,Restricted Win,5.0,149399707,8,6.90,0.25,26.23,26.9,5.34,0.2
202,345438522,01 Aug 18,Ballarat,660m,Restricted Win,4.0,1407220003,8,13.06,0.28,38.80,25.9,12.10,0.25
146,139100149,01 Aug 16,Ballarat,450m,Grade 5 T3,3.0,-749552,8,6.79,0.00,26.04,32.4,1.97,0.3333333333333333
333,386961893,01 Dec 18,Ballarat,450m,S/E Heat,3.0,119979984,8,6.73,0.22,25.75,24.5,8.50,0.3333333333333333
312,386961894,01 Dec 18,Ballarat,450m,S/E Heat,5.0,139788539,8,7.00,0.51,25.73,33.6,11.10,0.2
695,285201768,01 Jan 18,Ballarat,390m,Grade 5,6.0,1873790016,8,8.68,0.34,22.85,28.5,10.00,0.16666666666666666
198,345438530,01 Aug 18,Ballarat,450m,Mixed 6/7,8.0,172647616,8,6.95,0.38,26.14,26.9,6.66,0.125
12,422625072,01 Apr 19,Ballarat,450m,Maiden Aged Prize Money,5.0,138443851,8,6.94,0.21,26.47,34.8,11.26,0.2
