"","track","dist","mean_time","mean_split","split_dist_estim","split_dist","id","track_id"
"1","Ballarat",390,22.83516174238,8.69461754058157,148.494715258951,0,"Ball-390","Ball-390"
"2","Ballarat",450,26.0382619266303,6.79182451780215,117.378073913803,0,"Ball-450","Ball-450"
"3","Ballarat",545,31.8238285467502,7.00576333405312,119.977425451812,0,"Ball-545","Ball-545"
"4","Ballarat",660,38.7703488372093,13.1622674418605,224.065471995201,0,"Ball-660","Ball-660"
"5","Bendigo",425,24.6379989339831,6.76800426406762,116.746567768591,0,"Bend-425","Bend-425"
"6","Bendigo",500,28.8889390326975,6.85592898501362,118.66010339206,0,"Bend-500","Bend-500"
"7","Bendigo",660,38.6715332690453,14.4692767598843,246.944505538075,0,"Bend-660","Bend-660"
"8","Cranbourne",311,18.3736697728596,10.0340559114735,169.840398083011,0,"Cran-311","Cran-311"
"9","Cranbourne",520,31.0600509967548,5.61690194714882,94.0368389228517,0,"Cran-520","Cran-520"
"10","Cranbourne",699,42.3521645021645,7.55974025974026,124.769501244461,0,"Cran-699","Cran-699"
"11","Geelong",400,23.2151157328114,8.6636001957426,149.275158400314,0,"Geel-400","Geel-400"
"12","Geelong",460,26.441539019246,6.79125560242552,118.146586507007,0,"Geel-460","Geel-460"
"13","Geelong",520,30.533553008596,5.55276504297994,94.5660605412243,0,"Geel-520","Geel-520"
"14","Geelong",596,35.0316666666667,9.64782051282051,164.140093029384,0,"Geel-596","Geel-596"
"15","Geelong",680,39.7607692307692,18.6775274725275,319.428394546505,0,"Geel-680","Geel-680"
"16","Healesville",300,17.2104441687345,4.03836042183623,70.3937745402159,0,"Heal-300","Heal-300"
"17","Healesville",350,19.8416225651404,6.74715557804199,119.017708585164,0,"Heal-350","Heal-350"
"18","Horsham",410,23.9438572675264,10.678421409871,182.850771666808,0,"Hors-410","Hors-410"
"19","Horsham",480,27.8874926253687,6.60122418879056,113.620383631659,0,"Hors-480","Hors-480"
"20","Horsham",485,27.9225630841121,6.73738551401869,117.024786172239,0,"Hors-485","Hors-485"
"21","Horsham",570,33.3221088435374,11.562380952381,197.783314789674,0,"Hors-570","Hors-570"
"22","Meadows (MEP)",525,30.8256848350019,5.25424100852799,89.4863015774758,0,"Mead-525","Mead-525"
"23","Meadows (MEP)",600,35.2651834556371,9.31726150767178,158.523403447926,0,"Mead-600","Mead-600"
"24","Meadows (MEP)",725,43.9122742474916,5.12816053511706,84.6669058178475,0,"Mead-725","Mead-725"
"25","Sale",440,25.625820290736,5.43707086055817,93.355496585233,0,"Sale-440","Sale-440"
"26","Sale",520,30.2069961891952,9.74902712396324,167.82516449862,0,"Sale-520","Sale-520"
"27","Sale",650,38.1249572649573,6.35625,108.368973931875,0,"Sale-650","Sale-650"
"28","Sandown (SAP)",515,30.3443547203054,5.2624431067391,89.3134233682383,0,"Sand-515","Sand-515"
"29","Sandown (SAP)",595,35.0268874399451,9.56325669183253,162.450567193454,0,"Sand-595","Sand-595"
"30","Sandown (SAP)",715,42.7570558375634,6.12035532994924,102.346945438399,0,"Sand-715","Sand-715"
"31","Sandown Park",515,30.0908623452294,5.22016970138383,89.3423181219958,0,"Sand-515","Sand-515"
"32","Sandown Park",595,34.7710576923077,9.48192628205128,162.254084639727,0,"Sand-595","Sand-595"
"33","Sandown Park",715,42.3980543318649,6.28577092511013,106.003124017792,0,"Sand-715","Sand-715"
"34","Shepparton",385,22.4731920529801,8.48754966887417,145.40464989633,0,"Shep-385","Shep-385"
"35","Shepparton",390,22.8459631000716,8.73744148555051,149.155549470095,0,"Shep-390","Shep-390"
"36","Shepparton",450,26.026559275637,6.84822804801011,118.40607085122,0,"Shep-450","Shep-450"
"37","Shepparton",650,38.3685114155251,17.9589863013699,304.242741384202,0,"Shep-650","Shep-650"
"38","The Meadows",525,30.5877990924092,5.21629881738174,89.5310208770471,0,"The -525","The -525"
"39","The Meadows",600,35.0327430972389,9.26497899159664,158.679763657905,0,"The -600","The -600"
"40","The Meadows",725,43.1148866498741,4.97230898404702,83.6120489590715,0,"The -725","The -725"
"41","Traralgon",315,18.8449348314607,4.97065168539326,83.0862666760156,0,"Trar-315","Trar-315"
"42","Traralgon",395,23.460350994858,5.02662977867203,84.6329521246563,0,"Trar-395","Trar-395"
"43","Traralgon",525,31.2751848753555,4.98690814790028,83.7125915668272,0,"Trar-525","Trar-525"
"44","Traralgon",595,35.261892393321,8.81202226345084,148.691771509868,0,"Trar-595","Trar-595"
"45","Traralgon",665,39.6898734177215,12.6541772151899,212.019518418115,0,"Trar-665","Trar-665"
"46","Warragul",400,23.3391944580132,8.61730005772903,147.688045930315,0,"Warr-400","Warr-400"
"47","Warragul",460,26.5683036270016,6.73532054546483,116.614425008492,0,"Warr-460","Warr-460"
"48","Warragul",680,39.8934604105572,18.8046041055718,320.532003496115,0,"Warr-680","Warr-680"
"49","Warrnambool",390,22.7342868068834,8.85088814531549,151.83438152227,0,"Warr-390","Warr-390"
"50","Warrnambool",450,25.9349242838898,6.77975643130816,117.636371739239,0,"Warr-450","Warr-450"
"51","Warrnambool",650,38.0928729281768,17.5072099447514,298.735316854272,0,"Warr-650","Warr-650"
